etap,styl,styl_odpowiedzi_tekstowej
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
9,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
10,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
11,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
12,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
13,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
14,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
15,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
16,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
17,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
18,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
19,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
20,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
21,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
22,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
23,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
24,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
25,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
26,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
27,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
28,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
29,styl_kosmiczny.txt,requiem_WYSLANNIK_flux_groq_system.txt
30,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
31,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
32,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
33,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
34,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
35,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
36,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
37,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
38,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
39,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
40,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
41,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
42,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
43,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
44,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
45,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
46,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
47,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
48,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
49,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
50,styl_kosmiczny.txt,requiem_WYSLANNIK_system_8_.txt
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
